id,department,classification,municipality,municipalCapital,latitude,longitude,altitude,northCoordinate,eastCoordinate,origin
88,ANTIOQUIA,MUNICIPIO,PEQUE,PEQUE,N 7° 1'29{COM},W75°54'47{COM},1200,1268409,1129050,OESTE
89,ANTIOQUIA,MUNICIPIO,PUEBLORRICO,PUEBLORRICO,N 5°47'37{COM},W75°50'42{COM},1800,1132250,1136899,OESTE
90,ANTIOQUIA,MUNICIPIO,PUERTO BERRÍO,PUERTO BERRIO,N 6°29'40{COM},W74°24'25{COM},113,1209616,963936,BOGOTA
91,ANTIOQUIA,MUNICIPIO,PUERTO NARE,PUERTO NARE,N 6°11'30{COM},W74°35'13{COM},131,1176147,943993,BOGOTA
92,ANTIOQUIA,MUNICIPIO,PUERTO TRIUNFO,PUERTO TRIUNFO,N 5°52'16{COM},W74°38'45{COM},152,1140702,937438,BOGOTA
93,ANTIOQUIA,MUNICIPIO,REMEDIOS,REMEDIOS,N 7° 1'50{COM},W74°41'47{COM},728,1268938,931994,BOGOTA
94,ANTIOQUIA,MUNICIPIO,RETIRO,RETIRO,N 6° 3'37{COM},W75°30'22{COM},2250,1161798,842207,BOGOTA
95,ANTIOQUIA,MUNICIPIO,RIONEGRO,RIONEGRO,N 6° 9'26{COM},W75°22'38{COM},2088,1172485,856505,BOGOTA
96,ANTIOQUIA,MUNICIPIO,SABANALARGA,SABANALARGA,N 6°51' 9{COM},W75°49'15{COM},850,1249385,1139293,OESTE
97,ANTIOQUIA,MUNICIPIO,SABANETA,SABANETA,N 6° 9'18{COM},W75°37'13{COM},1600,1172287,1161690,OESTE
98,ANTIOQUIA,MUNICIPIO,SALGAR,SALGAR,N 5°57'48{COM},W75°58'51{COM},1250,1150991,1121815,OESTE
99,ANTIOQUIA,MUNICIPIO,SAN ANDRÉS,SAN ANDRES,N 6°55' 2{COM},W75°40'43{COM},1400,1256588,1154996,OESTE
100,ANTIOQUIA,MUNICIPIO,SAN CARLOS,SAN CARLOS,N 6°11'23{COM},W74°59'49{COM},1000,1175993,898611,BOGOTA
101,ANTIOQUIA,MUNICIPIO,SAN FRANCISCO,SAN FRANCISCO,N 5°58' 5{COM},W75° 6'21{COM},1250,1151497,886511,BOGOTA
102,ANTIOQUIA,MUNICIPIO,SAN JERÓNIMO,SAN JERONIMO,N 6°26'49{COM},W75°43'58{COM},734,1204548,1149151,OESTE
103,ANTIOQUIA,MUNICIPIO,SAN JOSÉ DE LA MONTAÑA,SAN JOSE DE LA MONTAÑA,N 6°51'13{COM},W75°41'10{COM},2550,1249549,1154188,OESTE
104,ANTIOQUIA,MUNICIPIO,SAN JUAN DE URABÁ,SAN JUAN DE URABA,N 8°45'49{COM},W76°31'49{COM},7,1460608,1060589,OESTE
105,ANTIOQUIA,MUNICIPIO,SAN LUIS,SAN LUIS,N 6° 2'42{COM},W74°59'48{COM},1050,1159986,898614,BOGOTA
106,ANTIOQUIA,MUNICIPIO,SAN PEDRO,SAN PEDRO,N 6°27'51{COM},W75°33'38{COM},2471,1206494,836303,BOGOTA
107,ANTIOQUIA,MUNICIPIO,SAN PEDRO DE URABÁ,SAN PEDRO DE URABA,N 8°16'56{COM},W76°21'38{COM},434,1407394,1079365,OESTE
108,ANTIOQUIA,MUNICIPIO,SAN RAFAEL,SAN RAFAEL,N 6°17'52{COM},W75° 1'54{COM},1011,1187951,894789,BOGOTA
109,ANTIOQUIA,MUNICIPIO,SAN ROQUE,SAN ROQUE,N 6°29'14{COM},W75° 1'21{COM},1427,1208902,895841,BOGOTA
110,ANTIOQUIA,MUNICIPIO,SAN VICENTE,SAN VICENTE,N 6°17'15{COM},W75°20'11{COM},2200,1186885,861060,BOGOTA
111,ANTIOQUIA,MUNICIPIO,SANTA BÁRBARA,SANTA BARBARA,N 5°52'39{COM},W75°34'14{COM},1806,1141597,835015,BOGOTA
112,ANTIOQUIA,MUNICIPIO,SANTA ROSA DE OSOS,SANTA ROSA DE OSOS,N 6°38'56{COM},W75°27'49{COM},2588,1226898,847087,BOGOTA
113,ANTIOQUIA,MUNICIPIO,SANTO DOMINGO,SANTO DOMINGO,N 6°28'27{COM},W75°10' 3{COM},1950,1207490,879797,BOGOTA
114,ANTIOQUIA,MUNICIPIO,SANTA FE ANTIOQUIA,SANTA FE ANTIOQUIA,N 6°33'34{COM},W75°49'52{COM},570,1216965,1138239,OESTE
115,ANTIOQUIA,MUNICIPIO,SANTUARIO,SANTUARIO,N 6° 8'29{COM},W75°16' 8{COM},2137,1170706,868495,BOGOTA
