id,indicatorId,initialNumber,finalNumber,company,ndc
96235,1005,8970200,8970299,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96236,1005,9115100,9115199,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96237,977,8370000,8372999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96238,977,8376000,8376999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96239,977,8470000,8470999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96240,977,8471000,8471499,TELMEX COLOMBIA S.A.,8
96241,977,9115000,9115099,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96242,1011,8373000,8373999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96243,1011,8379000,8379999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96244,1011,8460000,8460499,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96245,1011,8461000,8462999,(DISPONIBLE),8
96246,1011,8970400,8970499,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96247,1020,8374000,8375999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96248,1020,8396000,8396999,(DISPONIBLE),8
96249,1020,8970500,8970599,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96250,1020,8975000,8975099,(DISPONIBLE),8
96251,1000,8377000,8377999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96252,1000,8464000,8465999,(DISPONIBLE),8
96253,1000,8974700,8974799,(DISPONIBLE),8
96254,1001,8378000,8378999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96255,1001,8973900,8973999,(DISPONIBLE),8
96256,979,8380000,8381999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96257,979,8385000,8385999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96258,979,8390000,8390999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96259,979,8391000,8391199,TELMEX COLOMBIA S.A.,8
96260,974,8382000,8382999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96261,974,8480000,8480499,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96262,974,8481000,8483999,(DISPONIBLE),8
96263,1023,8383000,8383999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96264,1023,8393000,8393999,(DISPONIBLE),8
96265,1023,8975200,8975299,(DISPONIBLE),8
96266,1023,9115200,9115299,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96267,987,8384000,8384499,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96268,987,8484000,8485999,(DISPONIBLE),8
96269,987,8973300,8973399,(DISPONIBLE),8
96270,1008,8386000,8387999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96271,1008,8388000,8388699,TELMEX TELECOMUNICACIONES S.A. ESP,8
96272,1008,8791000,8791999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96273,1622,8792000,8792199,TELMEX COLOMBIA S.A.,8
96274,1008,8974200,8974299,(DISPONIBLE),8
96275,973,8389000,8389999,COLOMBIA TELECOMUNICACIONES S.A. ESP,8
96276,973,8398000,8398499,TELMEX TELECOMUNICACIONES S.A. ESP,8
